Day,FIPS,Airport,Max Temp,Min Temp,Avg Temp,Total Precip,Avg Speed
1,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,70,79,0.18,3.8
2,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,68,78,0,2.4
3,US01, BIRMINGHAM INTERNATIONAL AIRPORT,87,69,78,0.01,2.9
4,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,72,80,0.61,4.3
5,US01, BIRMINGHAM INTERNATIONAL AIRPORT,87,71,79,0,2.2
6,US01, BIRMINGHAM INTERNATIONAL AIRPORT,90,74,82,0.38,2.2
7,US01, BIRMINGHAM INTERNATIONAL AIRPORT,89,73,81,0.04,3.5
8,US01, BIRMINGHAM INTERNATIONAL AIRPORT,87,72,80,1.65,2.7
9,US01, BIRMINGHAM INTERNATIONAL AIRPORT,90,73,82,0,4.4
10,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,74,81,0.01,4
11,US01, BIRMINGHAM INTERNATIONAL AIRPORT,90,74,82,0.03,4.1
12,US01, BIRMINGHAM INTERNATIONAL AIRPORT,91,74,83,0.64,5.3
13,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,73,81,0.06,5.6
14,US01, BIRMINGHAM INTERNATIONAL AIRPORT,82,68,75,0.16,4.4
15,US01, BIRMINGHAM INTERNATIONAL AIRPORT,79,64,72,0,5.3
16,US01, BIRMINGHAM INTERNATIONAL AIRPORT,73,67,70,0,5.8
17,US01, BIRMINGHAM INTERNATIONAL AIRPORT,70,67,69,0,5.2
18,US01, BIRMINGHAM INTERNATIONAL AIRPORT,75,67,71,0.47,5
19,US01, BIRMINGHAM INTERNATIONAL AIRPORT,85,70,78,0.01,3.5
20,US01, BIRMINGHAM INTERNATIONAL AIRPORT,86,73,80,0.01,3.5
21,US01, BIRMINGHAM INTERNATIONAL AIRPORT,89,73,81,0,2.1
22,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,72,80,0.01,1.9
23,US01, BIRMINGHAM INTERNATIONAL AIRPORT,90,71,81,0.03,2
24,US01, BIRMINGHAM INTERNATIONAL AIRPORT,88,71,80,0.03,5.4
25,US01, BIRMINGHAM INTERNATIONAL AIRPORT,85,71,78,0,6.1
26,US01, BIRMINGHAM INTERNATIONAL AIRPORT,84,65,75,0,4.5
27,US01, BIRMINGHAM INTERNATIONAL AIRPORT,87,63,75,0,2
28,US01, BIRMINGHAM INTERNATIONAL AIRPORT,89,66,78,0,2.5
29,US01, BIRMINGHAM INTERNATIONAL AIRPORT,91,70,81,0,3.2
30,US01, BIRMINGHAM INTERNATIONAL AIRPORT,94,72,83,0,2.8
31,US01, BIRMINGHAM INTERNATIONAL AIRPORT,95,74,85,0,3.2
1,US02,TED STEVENS ANCHORAGE INTL AIRPORT,70,53,62,0,4.7
2,US02,TED STEVENS ANCHORAGE INTL AIRPORT,72,57,65,0.01,12.9
3,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,55,61,0.01,15.7
4,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,56,62,0.01,11.2
5,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,55,61,0.01,8.8
6,US02,TED STEVENS ANCHORAGE INTL AIRPORT,66,55,61,0.02,7.7
7,US02,TED STEVENS ANCHORAGE INTL AIRPORT,63,55,59,0.17,1.2
8,US02,TED STEVENS ANCHORAGE INTL AIRPORT,68,55,62,0.07,7.9
9,US02,TED STEVENS ANCHORAGE INTL AIRPORT,58,52,55,0.62,5.5
10,US02,TED STEVENS ANCHORAGE INTL AIRPORT,63,53,58,0.1,2.5
11,US02,TED STEVENS ANCHORAGE INTL AIRPORT,58,53,56,1.08,4
12,US02,TED STEVENS ANCHORAGE INTL AIRPORT,68,55,62,0.33,3.6
13,US02,TED STEVENS ANCHORAGE INTL AIRPORT,71,55,63,0,4.8
14,US02,TED STEVENS ANCHORAGE INTL AIRPORT,63,53,58,0.01,4.3
15,US02,TED STEVENS ANCHORAGE INTL AIRPORT,66,49,58,0,3.3
16,US02,TED STEVENS ANCHORAGE INTL AIRPORT,60,52,56,0.13,2.3
17,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,55,61,0.23,5.4
18,US02,TED STEVENS ANCHORAGE INTL AIRPORT,61,56,59,0.26,7.7
19,US02,TED STEVENS ANCHORAGE INTL AIRPORT,59,55,57,0.5,13.3
20,US02,TED STEVENS ANCHORAGE INTL AIRPORT,62,55,59,0.05,10.4
21,US02,TED STEVENS ANCHORAGE INTL AIRPORT,58,53,56,0.34,8.9
22,US02,TED STEVENS ANCHORAGE INTL AIRPORT,56,52,54,0.44,4.5
23,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,53,60,0.08,6
24,US02,TED STEVENS ANCHORAGE INTL AIRPORT,70,50,60,0,5.7
25,US02,TED STEVENS ANCHORAGE INTL AIRPORT,66,42,54,0,3.1
26,US02,TED STEVENS ANCHORAGE INTL AIRPORT,67,46,57,0,2.8
27,US02,TED STEVENS ANCHORAGE INTL AIRPORT,63,51,57,0.03,2.6
